q,N,rtol,atol,max_step_s,end_s,nfev,min_C,max_C,min_T,max_T,runtime_s
1,200,2e-10,1e-12,5.0,1800,5862,1.5102346559979114,2.5500000000000003,28.0,36.7855695798161,0.4509457999956794
1,400,2e-10,1e-12,5.0,1800,5988,1.510234614366697,2.5500000000000003,28.0,36.785562662707626,0.6097539999973378
1,800,2e-10,1e-12,5.0,1800,6032,1.5102346024044864,2.5500000000000003,28.0,36.785560934547114,0.7986290999979246
1,1600,2e-10,1e-12,5.0,1800,6064,1.5102345994450097,2.5500000000000003,28.0,36.78556050356295,1.4486959999994724
1,3200,2e-10,1e-12,5.0,1800,6105,1.5102345986993018,2.55,28.0,36.78556039549564,2.582943100002012
1,6400,2e-10,1e-12,5.0,1800,6122,1.5102345985125605,2.55,28.0,36.78556036874928,4.58526669999992
2,200,2e-10,1e-12,5.0,10800,20350,1.0081245424808947,2.5500000000000007,28.0,49.96641243247047,4.070612399998936
2,400,2e-10,1e-12,5.0,10800,20624,1.0081234788175764,2.5500000000000003,28.0,49.96641279786082,5.765677899995353
2,800,2e-10,1e-12,5.0,10800,20560,1.008123213030805,2.5500000000000003,28.0,49.96641288804559,9.942977200000314
2,1600,2e-10,1e-12,5.0,10800,20586,1.0081231465698808,2.5500000000000003,28.0,49.966412910566916,16.883109100002912
2,3200,2e-10,1e-12,5.0,10800,20624,1.0081231300272397,2.5500000000000003,28.0,49.966412916456484,35.15677080000023
2,6400,2e-10,1e-12,5.0,10800,20652,1.0081231258727106,2.5500000000000003,28.0,49.96641291787409,74.76892309999675
