q,N,field,time_s,radius_cm,value
1,200,T,1800.0,0.0,33.57535918795393
1,200,T,1800.0,0.5,33.77201602917512
1,200,T,1800.0,1.0,34.36417435325207
1,200,T,1800.0,1.5,35.36213672157978
1,200,T,1800.0,2.0,36.7855695798161
1,200,C,1800.0,0.0,2.5499923041528367
1,200,C,1800.0,0.5,2.549722472799672
1,200,C,1800.0,1.0,2.5382837342294193
1,200,C,1800.0,1.5,2.3754251739358683
1,200,C,1800.0,2.0,1.5102346559979114
1,400,T,1800.0,0.0,33.57534841639285
1,400,T,1800.0,0.5,33.77200544460264
1,400,T,1800.0,1.0,34.364164189591015
1,400,T,1800.0,1.5,35.36212761956176
1,400,T,1800.0,2.0,36.785562662707626
1,400,C,1800.0,0.0,2.5499923790920893
1,400,C,1800.0,0.5,2.5497235687154864
1,400,C,1800.0,1.0,2.5382963481251597
1,400,C,1800.0,1.5,2.3754586863554206
1,400,C,1800.0,2.0,1.510234614366697
1,800,T,1800.0,0.0,33.575345726952435
1,800,T,1800.0,0.5,33.77200280181171
1,800,T,1800.0,1.0,34.364161652517964
1,800,T,1800.0,1.5,35.36212534711975
1,800,T,1800.0,2.0,36.785560934547114
1,800,C,1800.0,0.0,2.5499923977711068
1,800,C,1800.0,0.5,2.549723842513755
1,800,C,1800.0,1.0,2.538299502000911
1,800,C,1800.0,1.5,2.3754670648325877
1,800,C,1800.0,2.0,1.5102346024044864
1,1600,T,1800.0,0.0,33.575345056096
1,1600,T,1800.0,0.5,33.77200214257307
1,1600,T,1800.0,1.0,34.36416101937349
1,1600,T,1800.0,1.5,35.36212477997627
1,1600,T,1800.0,2.0,36.78556050356295
1,1600,C,1800.0,0.0,2.5499924024388223
1,1600,C,1800.0,0.5,2.54972391096143
1,1600,C,1800.0,1.0,2.538300290491642
1,1600,C,1800.0,1.5,2.375469159416347
1,1600,C,1800.0,2.0,1.5102345994450097
1,3200,T,1800.0,0.0,33.575344887804015
1,3200,T,1800.0,0.5,33.77200197720326
1,3200,T,1800.0,1.0,34.36416086057987
1,3200,T,1800.0,1.5,35.362124637761816
1,3200,T,1800.0,2.0,36.78556039549564
1,3200,C,1800.0,0.0,2.5499924036055406
1,3200,C,1800.0,0.5,2.5497239280727033
1,3200,C,1800.0,1.0,2.538300487616138
1,3200,C,1800.0,1.5,2.375469683063721
1,3200,C,1800.0,2.0,1.5102345986993018
1,6400,T,1800.0,0.0,33.57534484621656
1,6400,T,1800.0,0.5,33.77200193633122
1,6400,T,1800.0,1.0,34.36416082130792
1,6400,T,1800.0,1.5,35.362124602565764
1,6400,T,1800.0,2.0,36.78556036874928
1,6400,C,1800.0,0.0,2.549992403897206
1,6400,C,1800.0,0.5,2.549723932350478
1,6400,C,1800.0,1.0,2.538300536897366
1,6400,C,1800.0,1.5,2.3754698139756636
1,6400,C,1800.0,2.0,1.5102345985125605
2,200,T,10800.0,0.0,49.84949412429167
2,200,T,10800.0,0.5,49.85533926509469
2,200,T,10800.0,1.0,49.874610792262374
2,200,T,10800.0,1.5,49.91014672123869
2,200,T,10800.0,2.0,49.96641243247047
2,200,C,10800.0,0.0,1.7661752710014123
2,200,C,10800.0,0.5,1.7165313013067125
2,200,C,10800.0,1.0,1.5701964526019672
2,200,C,10800.0,1.5,1.333261520522218
2,200,C,10800.0,2.0,1.0081245424808947
2,400,T,10800.0,0.0,49.84949522228704
2,400,T,10800.0,0.5,49.85534033337233
2,400,T,10800.0,1.0,49.87461185891175
2,400,T,10800.0,1.5,49.91014751004493
2,400,T,10800.0,2.0,49.96641279786082
2,400,C,10800.0,0.0,1.766176643661535
2,400,C,10800.0,0.5,1.7165325865250658
2,400,C,10800.0,1.0,1.570197611501463
2,400,C,10800.0,1.5,1.3332629502795417
2,400,C,10800.0,2.0,1.0081234788175764
2,800,T,10800.0,0.0,49.849495495694995
2,800,T,10800.0,0.5,49.8553405994777
2,800,T,10800.0,1.0,49.8746121246415
2,800,T,10800.0,1.5,49.91014770682168
2,800,T,10800.0,2.0,49.96641288804559
2,800,C,10800.0,0.0,1.7661769870233193
2,800,C,10800.0,0.5,1.7165329080273688
2,800,C,10800.0,1.0,1.57019790141868
2,800,C,10800.0,1.5,1.3332633078837115
2,800,C,10800.0,2.0,1.008123213030805
2,1600,T,10800.0,0.0,49.849495564425176
2,1600,T,10800.0,0.5,49.85534066629841
2,1600,T,10800.0,1.0,49.87461219119627
2,1600,T,10800.0,1.5,49.91014775606126
2,1600,T,10800.0,2.0,49.966412910566916
2,1600,C,10800.0,0.0,1.7661770728258404
2,1600,C,10800.0,0.5,1.716532988365996
2,1600,C,10800.0,1.0,1.5701979738660399
2,1600,C,10800.0,1.5,1.3332633972640842
2,1600,C,10800.0,2.0,1.0081231465698808
2,3200,T,10800.0,0.0,49.84949558195509
2,3200,T,10800.0,0.5,49.85534068335397
2,3200,T,10800.0,1.0,49.874612208184075
2,3200,T,10800.0,1.5,49.91014776869597
2,3200,T,10800.0,2.0,49.966412916456484
2,3200,C,10800.0,0.0,1.7661770944279103
2,3200,C,10800.0,0.5,1.7165330085938684
2,3200,C,10800.0,1.0,1.5701979920988045
2,3200,C,10800.0,1.5,1.3332634197019622
2,3200,C,10800.0,2.0,1.0081231300272397
2,6400,T,10800.0,0.0,49.84949558624374
2,6400,T,10800.0,0.5,49.8553406875268
2,6400,T,10800.0,1.0,49.8746122123479
2,6400,T,10800.0,1.5,49.91014777178404
2,6400,T,10800.0,2.0,49.96641291787409
2,6400,C,10800.0,0.0,1.7661770997901287
2,6400,C,10800.0,0.5,1.71653301361458
2,6400,C,10800.0,1.0,1.5701979966262092
2,6400,C,10800.0,1.5,1.3332634252874311
2,6400,C,10800.0,2.0,1.0081231258727106
