q,kind,field,N_from,N_to,max_abs,time_s,radius_cm,rms,surface_max,nonsurface_max,rounded4_different,total
1,grid,T,200,400,1.665857955757133e-05,906.0,0.0,1.2193760743739118e-05,1.5769665644427278e-05,1.665857955757133e-05,4338,37800
1,grid,C,200,400,0.003321261104094031,1.0,2.0,4.663490608876042e-05,0.003321261104094031,0.0002473347675007176,6200,37800
1,grid,T,400,800,4.157394933201886e-06,906.0,0.0,3.044018580681479e-06,3.938971644856792e-06,4.157394933201886e-06,1099,37800
1,grid,C,400,800,0.0007589251150501575,1.0,2.0,1.1467884919494915e-05,0.0007589251150501575,6.193876022297928e-05,1650,37800
1,grid,T,800,1600,1.037346418542029e-06,907.0,0.0,7.588610235156687e-07,9.821731836723302e-07,1.037346418542029e-06,266,37800
1,grid,C,800,1600,0.00018636060606569416,1.0,2.0,2.857978820379525e-06,0.00018636060606569416,1.5491231248887516e-05,419,37800
1,grid,T,1600,3200,2.602798510054072e-07,906.0,0.0,1.90526704037099e-07,2.4642828932996963e-07,2.602798510054072e-07,71,37800
1,grid,C,1600,3200,4.640471883776698e-05,1.0,2.0,7.139845812872463e-07,4.640471883776698e-05,3.873200929760401e-06,110,37800
1,grid,T,3200,6400,6.405389996189115e-08,908.0,0.0,4.688347641583024e-08,5.949148018657979e-08,6.405389996189115e-08,19,37800
1,grid,C,3200,6400,1.1589570239500802e-05,1.0,2.0,1.7846482361172394e-07,1.1589570239500802e-05,9.683281039229996e-07,29,37800
1,original_vs_strict_same_grid,T,3200,3200,0.00023202300619828975,541.0,2.0,1.3223365215631771e-05,0.00023202300619828975,0.000120491296200953,3116,37800
1,original_vs_strict_same_grid,C,3200,3200,3.0588305439671615e-06,2.0,2.0,2.1949332533873131e-07,3.0588305439671615e-06,1.053807081596858e-06,36,37800
1,time,T,3200,3200,4.101026007674591e-08,1502.0,2.0,1.0138188142222331e-08,4.101026007674591e-08,2.2816962541583052e-08,1,37800
1,time,C,3200,3200,8.180955246572807e-09,730.0,2.0,1.5328871235867332e-09,8.180955246572807e-09,6.433554133877806e-09,0,37800
2,grid,T,200,400,1.850644923706568e-05,1080.0,1.9,7.130173467813928e-06,1.2408927105411749e-05,1.850644923706568e-05,13622,226800
2,grid,C,200,400,0.0026912097013012115,1.0,2.0,1.6376115277398244e-05,0.0026912097013012115,0.00021871185789690273,14207,226800
2,grid,T,400,800,4.627576458915428e-06,1080.0,1.9,1.7789974270410232e-06,3.096497387389263e-06,4.627576458915428e-06,3397,226800
2,grid,C,400,800,0.0006206414749616584,1.0,2.0,4.041205813914207e-06,0.0006206414749616584,5.4768510108882396e-05,3644,226800
2,grid,T,800,1600,1.1567148874291888e-06,1080.0,1.9,4.456471952690066e-07,7.757026665444755e-07,1.1567148874291888e-06,920,226800
2,grid,C,800,1600,0.00015281416959034289,1.0,2.0,1.0078774217131785e-06,0.00015281416959034289,1.3697959124314707e-05,916,226800
2,grid,T,1600,3200,2.891773824842403e-07,1080.0,1.9,1.1143063448032951e-07,1.9392285821595578e-07,2.891773824842403e-07,209,226800
2,grid,C,1600,3200,3.807095159658047e-05,1.0,2.0,2.518307625350363e-07,3.807095159658047e-05,3.4248524163338345e-06,219,226800
2,grid,T,3200,6400,7.229430920574487e-08,1080.0,1.9,2.7848639260474378e-08,4.8480572445441794e-08,7.229430920574487e-08,42,226800
2,grid,C,3200,6400,9.507859362933857e-06,1.0,2.0,6.294709831601088e-08,9.507859362933857e-06,8.562729236771816e-07,43,226800
2,original_vs_strict_same_grid,T,800,800,0.002251880281711749,3302.0,2.0,0.0002628574467578225,0.002251880281711749,0.0016237374143770467,173327,226800
2,original_vs_strict_same_grid,C,800,800,3.0256700207953457e-05,3.0,2.0,2.178701781200652e-06,3.0256700207953457e-05,1.1979622977609239e-05,3758,226800
2,time,T,3200,3200,8.218334102139124e-08,8941.0,2.0,1.1133208610128972e-08,8.218334102139124e-08,4.430999922533374e-08,18,226800
2,time,C,3200,3200,6.112488737386457e-09,1.0,2.0,4.174238114851721e-10,6.112488737386457e-09,2.6142492615122137e-09,1,226800
