problem,case,final_time_s,center_T,surface_T,center_C,surface_C,d_center_T,d_surface_T,d_center_C,d_surface_C
1,baseline,1800.0,33.57534602,36.78557158,2.54999237,1.51023492,0,0,0,0
1,D_0.8,1800.0,33.57534602,36.78557158,2.54999953,1.43522767,0,0,7.1651951e-06,-0.075007246
1,D_1.2,1800.0,33.57534602,36.78557158,2.54995078,1.56915438,0,0,-4.158523e-05,0.05891946
1,hm_0.8,1800.0,33.57534602,36.78557158,2.54999370,1.66363035,0,0,1.3349757e-06,0.15339543
1,hm_1.2,1800.0,33.57534602,36.78557158,2.54999112,1.37595059,0,0,-1.2539936e-06,-0.13428433
1,h_0.8,1800.0,32.98456111,35.97587551,2.54999237,1.51023492,-0.59078491,-0.80969607,0,0
1,h_1.2,1800.0,34.04581080,37.40654462,2.54999237,1.51023492,0.47046478,0.62097304,0,0
2,baseline,10800.0,49.84956113,49.96676674,1.76617416,1.00812588,0,0,0,0
2,D_0.8,10800.0,49.84272794,49.96234808,1.89485523,0.97397327,-0.0068331814,-0.004418656,0.12868108,-0.034152607
2,D_1.2,10800.0,49.85464279,49.96891705,1.67084644,1.03070402,0.0050816621,0.0021503058,-0.095327712,0.02257814
2,hm_0.8,10800.0,49.83701334,49.95600034,1.85814522,1.17749505,-0.012547782,-0.010766404,0.091971062,0.16936917
2,hm_1.2,10800.0,49.85962602,49.97507298,1.69205148,0.87367357,0.01006489,0.008306238,-0.074122671,-0.1344523
2,h_0.8,10800.0,49.72036157,49.86495836,1.77656250,1.00963970,-0.12919956,-0.10180838,0.010388347,0.001513825
2,h_1.2,10800.0,49.90713861,50.01293252,1.75961432,1.00673279,0.057577488,0.046165778,-0.0065598349,-0.0013930888
