case,D_scale,hm_m_s,h_W_m2K,scenario,hours,delta_h,relative_percent,mass_error,maximum_after_1s,strict_pass
baseline,1.0,8e-07,25.0,mean,57.47529742,0.00000000,0.00000,8.882e-15,0.149999708731,True
D_0.8,0.8,8e-07,25.0,mean,70.24058685,12.76528942,22.21005,7.105e-15,0.149999766960,True
D_1.2,1.2,8e-07,25.0,mean,49.04615087,-8.42914655,-14.66569,6.217e-15,0.149999650522,True
hm_0.8,1.0,6.4e-07,25.0,mean,59.17171613,1.69641871,2.95156,4.441e-15,0.149999708778,True
hm_1.2,1.0,9.6e-07,25.0,mean,56.43607541,-1.03922201,-1.80812,5.329e-15,0.149999708705,True
h_0.8,1.0,8e-07,20.0,mean,57.49500977,0.01971235,0.03430,6.661e-15,0.149999708731,True
h_1.2,1.0,8e-07,30.0,mean,57.46226468,-0.01303275,-0.02268,7.994e-15,0.149999708731,True
tail_last,1.0,8e-07,25.0,last,57.17066966,-0.30462776,-0.53002,7.105e-15,0.149999706940,True
step_1800,1.0,8e-07,25.0,mean,57.47529686,-0.00000057,-0.00000,8.882e-15,0.149999708731,True
step_7200,1.0,8e-07,25.0,mean,57.47529742,0.00000000,0.00000,8.882e-15,0.149999708731,True
